SSIP,SDFP,SDFB,SFE,NIFE,label
2,0.0,0.0,6,1.0,0
3,0.4629100498862757,45.36518488885502,8,1.0,0
3,0.4629100498862757,45.36518488885502,8,1.0,0
3,0.4629100498862757,45.36518488885502,8,1.0,0
3,0.4629100498862757,45.36518488885502,8,1.0,0
2,0.0,0.0,6,1.0,0
5,2.5928413154214667,400.49320137528684,24,1.0,0
6,2.288914684906934,347.83216582097486,24,1.0,0
5,2.5928413154214667,400.49320137528684,24,1.0,0
5,2.4653685988189125,374.74543740670526,28,1.0,0
4,1.8470962903655979,294.0441254512974,18,1.0,0
4,1.6865480854231356,165.28171237146728,10,1.0,0
6,2.3607563897419226,394.29147336685145,42,1.0,0
7,2.294688900036362,341.74820034942064,34,1.0,0
9,2.387988418686909,372.78340924880416,52,1.0,0
6,2.5851511630749395,332.3558609392252,18,1.0,0
7,2.326767667844568,390.1373335203163,44,1.0,0
10,2.296987697457151,361.9594128877079,48,1.0,0
12,2.740333346084403,368.47133717530687,52,1.0,0
6,3.626788492763512,399.67127014961505,18,1.0,0
11,2.6392373463733425,374.7459007967057,61,0.9836065573770492,0
8,2.2687961339520784,386.0143456371892,52,1.0,0
9,2.973961069759395,365.7406575313012,36,1.0,0
9,2.2500280581864445,378.62110267910236,55,0.9818181818181818,0
8,2.1875917138681804,376.0261030274805,68,1.0,0
10,2.2021738441963654,368.2546829864775,72,1.0,0
9,3.6048915557841763,407.2449875878565,44,1.0,0
12,2.9938826518975876,388.82371665264833,76,1.0,0
12,3.249511045357179,392.2579065541411,60,1.0,0
7,4.081477862057019,443.7594913394486,26,1.0,0
9,2.271364595837265,374.83451250479305,86,1.0,0
9,5.343734352374999,538.1244600098456,44,1.0,0
10,2.4401826081285187,374.0151780877859,92,1.0,0
12,3.9790493786271437,449.2134211628243,90,1.0,0
12,4.4922135346327305,476.3462717731015,68,1.0,0
7,5.278111550399587,535.8007896166691,26,1.0,0
12,2.397662833259633,380.4740393366733,106,1.0,0
14,4.814045302552955,515.1387836860364,112,1.0,0
8,5.6367301933592024,573.529200054808,34,1.0,0
13,5.556327859598315,564.6287704760201,82,1.0,0
13,2.695442282440148,383.9589854191282,114,1.0,0
11,6.262614388819644,626.5876053024382,60,1.0,0
13,2.4987236107799564,378.73230107808325,110,1.0,0
15,6.335565516165799,634.5603088561531,102,1.0,0
13,7.44199098451917,716.6850114171931,70,1.0,0
8,6.850153514674191,655.0456545339489,28,1.0,0
11,8.472630110709884,809.033544790168,48,1.0,0
14,3.0977717898986294,399.23465541279455,118,1.0,0
14,2.7055464086488303,384.2655267283644,114,1.0,0
17,7.786070174321844,761.2912841587321,102,1.0,0
16,3.600310328437576,425.79137409826774,124,1.0,0
16,8.898323054382391,855.5925856742055,78,1.0,0
10,7.787953373122844,747.5898451777574,30,1.0,0
14,9.71298565815271,936.3257744675212,58,1.0,0
12,3.1648343512083272,408.5457624991629,120,1.0,0
16,11.42593929801321,1088.9353112604967,62,1.0,0
15,4.305208948545708,472.992942267329,130,1.0,0
14,12.26392319189653,1172.771034318366,46,1.0,0
10,9.278925667255965,874.9475307345359,24,1.0,0
17,9.413352862886429,909.4302523219601,100,1.0,0
14,3.6548129927622828,434.8711925436999,124,1.0,0
15,5.0538620593299335,526.0913379753717,134,1.0,0
17,10.561058450669401,1017.1938358989707,112,1.0,0
15,13.171177047335924,1263.5321263926096,60,1.0,0
12,9.504519842469552,908.194119301228,38,1.0,0
16,12.453870928305829,1194.4415583012574,78,1.0,0
14,4.248608556064993,477.19292833671864,116,1.0,0
12,10.707676617692345,1021.2589154587503,36,1.0,0
16,14.12999174333328,1355.3561730369895,76,1.0,0
15,14.33476590699787,1378.7652159204385,66,1.0,0
16,5.930068657757201,597.5563340116648,126,1.0,0
17,12.313007627442525,1182.360513493477,104,1.0,0
15,4.891847839631511,524.5310285789146,118,1.0,0
16,6.970433230279254,686.4980052018209,124,1.0,0
16,15.69808099212904,1508.3297275757075,78,1.0,0
17,14.13823989109026,1357.654011688291,100,1.0,0
12,11.663733289697625,1105.4499248148309,36,1.0,0
15,15.991593288369396,1537.7610243844597,66,1.0,0
15,5.578917230100968,579.8886463987911,126,1.0,0
15,17.37284688701436,1671.5269089460146,68,1.0,0
17,15.304768754286528,1468.7650861007205,108,1.0,0
16,7.829152446854388,762.0853958265031,132,1.0,0
12,13.113916210922532,1239.5953147518906,30,1.0,0
16,16.669153372541253,1601.982774248451,86,1.0,0
15,6.079874577139856,620.8261068383855,134,1.0,0
16,17.81730001361825,1709.7242171989037,86,1.0,0
15,18.57873466386981,1784.9795062795085,68,1.0,0
16,8.317697848128288,807.0702566758782,142,1.0,0
17,16.03078352953362,1538.5630510276599,116,1.0,0
12,13.991897136695616,1320.0843066307937,30,1.0,0
14,6.845532402130103,685.3462925615132,138,1.0,0
15,20.777406348584222,1995.367818779597,62,1.0,0
12,15.213500742390282,1435.0597590681632,30,1.0,0
16,9.454480658507721,908.8050198931228,140,1.0,0
16,20.328520636011643,1949.29993666707,74,1.0,0
