time,ssip,sdfp,sdfb,sfe,nife
1745592561.553163,4,11.568917138176761,70184.92594790208,16,1.0
1745592561.559531,3,12.220201853215574,79032.8507613905,0,0
1745592561.56006,3,12.280291346525763,79038.35592029564,0,0
1745592561.560474,0,0,0,0,0
1745592561.560874,0,0,0,0,0
1745592561.560954,4,11.578536176909411,70186.65997794292,16,1.0
1745592564.554455,4,21.796555777232328,200678.37207908704,0,0
1745592564.561587,3,23.35237318418266,226048.6462706768,0,0
1745592564.562137,0,0,0,0,0
1745592564.562207,0,0,0,0,0
1745592564.562258,3,23.44082383838551,226054.17551238317,12,1.0
1745592564.562642,4,21.818856523658614,200680.120460048,4,4.0
1745592567.556026,4,32.56717816682925,331191.0861282539,0,0
1745592567.563829,4,32.59409455714332,331192.837679175,0,0
1745592567.56444,3,35.07927529974865,373084.6691884728,0,0
1745592567.564966,3,35.17772338031872,373090.20395955635,0,0
1745592567.565455,0,0,0,0,0
1745592567.565548,0,0,0,0,0
1745592570.557994,4,39.47304262088242,418187.0564505943,16,1.0
1745592570.558726,0,0,0,0,0
1745592570.565,4,39.501582246791074,418188.80894637096,16,1.0
1745592570.565546,3,42.597600349732794,471095.52497830347,0,0
1745592570.565918,3,42.699531613356136,471101.06128884084,0,0
1745592570.566251,0,0,0,0,0
1745592573.558788,4,50.05711581533638,548690.4398564595,16,1.0
1745592573.566113,4,50.08726759367095,548692.1932471424,0,0
1745592573.566896,3,54.22535282401479,618127.2620556969,0,0
1745592573.567313,0,0,0,0,0
1745592573.567386,0,0,0,0,0
1745592573.567452,3,54.11997988009809,618121.7242207099,12,1.0
1745592576.560544,4,60.867138866140245,679203.239493618,4,4.0
1745592576.567431,0,0,0,0,0
1745592576.567595,3,65.99621201250872,765163.3668791297,12,1.0
1745592576.568063,0,0,0,0,0
1745592576.568126,4,60.898352810236176,679204.993467167,16,1.0
1745592576.568569,3,65.88858441001413,765157.8279999384,0,0
1745592579.563902,4,71.24997258771403,809697.2413109884,4,4.0
1745592579.571537,0,0,0,0,0
1745592579.57172,3,77.30135833217939,912179.695783935,12,1.0
1745592579.572304,4,71.28190075327677,809698.9956259883,4,4.0
1745592579.573011,3,77.19222039097521,912174.1563745289,0,0
1745592579.573495,0,0,0,0,0
1745592582.562321,2,0.4330127018922193,1416111.000192252,4,1.0
1745592582.565471,0,0,0,0,0
1745592582.565659,2,0.4330127018922193,1416111.000192252,4,1.0
1745592582.56623,2,0.4330127018922193,1416111.000192252,0,0
1745592582.566639,0,0,0,0,0
1745592582.566728,2,0.4330127018922193,1416111.000192252,4,1.0
1745592585.564932,2,0.82915619758885,1612719.0008440714,0,0
1745592585.56842,2,0.82915619758885,1612719.0008440714,0,0
1745592585.568885,2,0.82915619758885,1612719.0008440714,0,0
1745592585.569242,2,0.82915619758885,1612719.0008440714,0,0
1745592585.569639,0,0,0,0,0
1745592585.569731,0,0,0,0,0
1745592588.566118,2,1.299038105676658,1809327.001956114,4,1.0
1745592588.569342,2,1.299038105676658,1809327.001956114,0,0
1745592588.569766,0,0,0,0,0
1745592588.569837,0,0,0,0,0
1745592588.569889,2,1.299038105676658,1809327.001956114,4,1.0
1745592588.570276,2,1.299038105676658,1809327.001956114,0,0
1745592591.567136,2,1.299038105676658,1940399.0018239806,0,0
1745592591.570116,0,0,0,0,0
1745592591.570238,2,1.299038105676658,1940399.0018239806,4,1.0
1745592591.570592,2,1.299038105676658,1940399.0018239806,0,0
1745592591.570869,0,0,0,0,0
1745592591.570929,2,1.299038105676658,1940399.0018239806,4,1.0
1745592594.568054,2,1.299038105676658,2137007.0016561714,0,0
1745592594.571655,2,1.299038105676658,2137007.0016561714,0,0
1745592594.572109,0,0,0,0,0
1745592594.572196,0,0,0,0,0
1745592594.572297,2,1.299038105676658,2137007.0016561714,4,1.0
1745592594.572777,2,1.299038105676658,2137007.0016561714,0,0
1745592597.569553,2,0.82915619758885,2333615.0005833223,0,0
1745592597.573086,2,0.82915619758885,2333615.0005833223,0,0
1745592597.573532,2,0.82915619758885,2333615.0005833223,0,0
1745592597.573892,2,0.82915619758885,2333615.0005833223,0,0
1745592597.57421,0,0,0,0,0
1745592597.574299,0,0,0,0,0
1745592600.571241,2,0.82915619758885,2530223.000537996,4,1.0
1745592600.574586,0,0,0,0,0
1745592600.574727,2,0.82915619758885,2530223.000537996,4,1.0
1745592600.575157,2,0.82915619758885,2530223.000537996,0,0
1745592600.575524,0,0,0,0,0
1745592600.575616,2,0.82915619758885,2530223.000537996,4,1.0
1745592603.573392,2,1.7853571071357126,2726831.0024960293,0,0
1745592603.576778,2,1.7853571071357126,2726831.0024960293,0,0
1745592603.577227,0,0,0,0,0
1745592603.577335,0,0,0,0,0
1745592603.577416,2,1.7853571071357126,2726831.0024960293,4,1.0
1745592603.577777,2,1.7853571071357126,2726831.0024960293,0,0
1745592606.574734,2,1.7853571071357126,2923439.0023281653,0,0
1745592606.578042,2,1.7853571071357126,2923439.0023281653,0,0
1745592606.578493,2,1.7853571071357126,2923439.0023281653,0,0
1745592606.578842,0,0,0,0,0
1745592606.578934,2,1.7853571071357126,2923439.0023281653,4,1.0
1745592606.579248,0,0,0,0,0
1745592609.576866,2,1.7853571071357126,3120047.0021814574,4,1.0
1745592609.57997,2,1.7853571071357126,3120047.0021814574,0,0
1745592609.580391,2,1.7853571071357126,3120047.0021814574,0,0
1745592609.580719,0,0,0,0,0
1745592609.580812,0,0,0,0,0
1745592609.58089,2,1.7853571071357126,3120047.0021814574,4,1.0
1745592612.579344,2,1.7853571071357126,3316655.0020521428,0,0
1745592612.583451,2,1.7853571071357126,3316655.0020521428,0,0
